id,first_name,last_name,position
1,Alex,Abrines,G
2,Jaylen,Adams,G
3,Steven,Adams,C
4,Bam,Adebayo,C-F
5,DeVaughn,Akoon-Purcell,G-F
6,LaMarcus,Aldridge,F
7,Rawle,Alkins,G
8,Grayson,Allen,G
9,Jarrett,Allen,C
10,Al-Farouq,Aminu,F
11,Justin,Anderson,G-F
12,Kyle,Anderson,F
13,Ryan,Anderson,F
14,Ike,Anigbogu,C
15,Giannis,Antetokounmpo,F
16,Kostas,Antetokounmpo,F
17,Carmelo,Anthony,F
18,OG,Anunoby,F
19,Ryan,Arcidiacono,G
20,Trevor,Ariza,F
21,D.J.,Augustin,G
22,Deandre,Ayton,C
23,Dwayne,Bacon,G-F
24,Marvin,Bagley III,F
25,Ron,Baker,G
26,Wade,Baldwin IV,G
27,Lonzo,Ball,G
28,Mo,Bamba,C
29,J.J.,Barea,G
30,Harrison,Barnes,F
31,Will,Barton,G
32,Keita,Bates-Diop,F
33,Nicolas,Batum,F-G
34,Jerryd,Bayless,G
35,Aron,Baynes,C-F
36,Kent,Bazemore,G
37,Bradley,Beal,G
38,Malik,Beasley,G
39,Michael,Beasley,F
40,Marco,Belinelli,G-F
41,Jordan,Bell,F
42,DeAndre',Bembry,F
43,Dragan,Bender,F
44,Davis,Bertans,F
45,Patrick,Beverley,G
46,Khem,Birch,C
47,Jabari,Bird,G
48,Bismack,Biyombo,C
49,Nemanja,Bjelica,F
50,Antonio,Blakeney,G
51,Eric,Bledsoe,G
52,Trevon,Bluiett,G-F
53,Bogdan,Bogdanovic,G
54,Bojan,Bogdanovic,F
55,Jonah,Bolden,F
56,Isaac,Bonga,G
57,Devin,Booker,G
58,Chris,Boucher,F
59,Avery,Bradley,G
60,Tony,Bradley,C
61,Mikal,Bridges,F
62,Miles,Bridges,F
63,Isaiah,Briscoe,G
64,Ryan,Broekhoff,G-F
65,Malcolm,Brogdon,G
66,Dillon,Brooks,G-F
67,MarShon,Brooks,G
68,Troy,Brown Jr.,F
69,Bruce,Brown,G
70,Jaylen,Brown,G
71,Lorenzo,Brown,G
72,Sterling,Brown,G
73,Jalen,Brunson,G
74,Thomas,Bryant,C
75,Reggie,Bullock,G-F
76,Trey,Burke,G
77,Alec,Burks,G
78,Deonte,Burton,G
79,Jimmy,Butler,G-F
80,Jose,Calderon,G
81,Kentavious,Caldwell-Pope,G
82,Isaiah,Canaan,G
83,Clint,Capela,C
84,DeMarre,Carroll,F
85,Wendell,Carter Jr.,F
86,Michael,Carter-Williams,G
87,Jevon,Carter,G
88,Vince,Carter,F-G
89,Alex,Caruso,G
90,Omri,Casspi,F
91,Willie,Cauley-Stein,C
92,Troy,Caupain,G
93,Tyler,Cavanaugh,F
94,Tyson,Chandler,C
95,Wilson,Chandler,F
96,Joe,Chealey,G
97,Marquese,Chriss,F
98,Gary,Clark,F
99,Ian,Clark,G
100,Jordan,Clarkson,G
