id,first_name,last_name,position,equipo
1,Alex,Abrines,G,Oklahoma City Thunder
2,Jaylen,Adams,G,Atlanta Hawks
3,Steven,Adams,C,Houston Rockets
4,Bam,Adebayo,C-F,Miami Heat
5,DeVaughn,Akoon-Purcell,G-F,Denver Nuggets
6,LaMarcus,Aldridge,F,Brooklyn Nets
7,Rawle,Alkins,G,Chicago Bulls
8,Grayson,Allen,G,Charlotte Hornets
9,Jarrett,Allen,C,Cleveland Cavaliers
10,Al-Farouq,Aminu,F,Portland Trail Blazers
11,Justin,Anderson,G-F,Indiana Pacers
12,Kyle,Anderson,F,Toronto Raptors
13,Ryan,Anderson,F,New Orleans Pelicans
14,Ike,Anigbogu,C,Indiana Pacers
15,Giannis,Antetokounmpo,F,Miami Heat
16,Kostas,Antetokounmpo,F,Chicago Bulls
17,Carmelo,Anthony,F,Los Angeles Lakers
18,OG,Anunoby,F,New York Knicks
19,Ryan,Arcidiacono,G,New York Knicks
20,Trevor,Ariza,F,Los Angeles Lakers
21,D.J.,Augustin,G,Los Angeles Lakers
22,Deandre,Ayton,C,Washington Wizards
23,Dwayne,Bacon,G-F,Los Angeles Lakers
24,Marvin,Bagley III,F,Denver Nuggets
25,Ron,Baker,G,New York Knicks
26,Wade,Baldwin IV,G,Memphis Grizzlies
27,Lonzo,Ball,G,Cleveland Cavaliers
28,Mo,Bamba,C,Utah Jazz
29,J.J.,Barea,G,Dallas Mavericks
30,Harrison,Barnes,F,San Antonio Spurs
31,Will,Barton,G,Toronto Raptors
32,Keita,Bates-Diop,F,Minnesota Timberwolves
33,Nicolas,Batum,F-G,LA Clippers
34,Jerryd,Bayless,G,Milwaukee Bucks
35,Aron,Baynes,C-F,Detroit Pistons
36,Kent,Bazemore,G,Sacramento Kings
37,Bradley,Beal,G,LA Clippers
38,Malik,Beasley,G,Detroit Pistons
39,Michael,Beasley,F,Miami Heat
40,Marco,Belinelli,G-F,San Antonio Spurs
41,Jordan,Bell,F,Chicago Bulls
42,DeAndre',Bembry,F,Milwaukee Bucks
